id,task,state,updates,infer_T,calibration,engine,batch,split,checkpoint,identity_path,gpu,checkpoint_sha256,ce,accuracy,items,targets,seed,adapt_T
language_s8623_K4096_a2_e4_raw_eager,language,adapted,4096,4,raw,eager,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step4096.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step4096.pt,0,db7170626db254348bb66dc2333d635db2549872ecd0e6651514b71b60a0d6a5,2.6970062916319346,0.5069302098584676,4406,40980,8623.0,2.0
language_s8623_K4096_a4_e2_raw_eager,language,adapted,4096,2,raw,eager,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8623_lr2e-05/step4096.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8623_lr2e-05/step4096.pt,0,b37dbcf94a342e80b072b0ee31dd3b92fbc0698b028a393cf8ea1c831e9e95c0,2.7417082291286845,0.5030746705710103,4406,40980,8623.0,4.0
language_s8623_K4096_a4_e4_raw_eager,language,adapted,4096,4,raw,eager,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8623_lr2e-05/step4096.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8623_lr2e-05/step4096.pt,0,b37dbcf94a342e80b072b0ee31dd3b92fbc0698b028a393cf8ea1c831e9e95c0,2.5422943416097517,0.5284529038555393,4406,40980,8623.0,4.0
language_s8621_K4096_a2_e2_raw_graph,language,adapted,4096,2,raw,graph,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8621_lr2e-05/step4096.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8621_lr2e-05/step4096.pt,0,b28d572dd70da7681dd3c1390dba691f338202170d0f829d104bfa068bbc8760,2.686773586890007,0.5079062957540263,4406,40980,8621.0,2.0
language_s8621_K4096_a4_e4_raw_graph,language,adapted,4096,4,raw,graph,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8621_lr2e-05/step4096.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8621_lr2e-05/step4096.pt,0,b1157521f1ce4ce6581b763d0c67277d3146e61ca4d26d74d34c31e5f03afade,2.549171707799827,0.5262811127379209,4406,40980,8621.0,4.0
language_s8622_K4096_a2_e2_raw_graph,language,adapted,4096,2,raw,graph,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8622_lr2e-05/step4096.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8622_lr2e-05/step4096.pt,1,428e117cbebf1e2675fb96c9450d7d788535c00f031abb45784924eca7f016e6,2.6774280019783085,0.5107613469985359,4406,40980,8622.0,2.0
language_s8622_K4096_a4_e4_raw_graph,language,adapted,4096,4,raw,graph,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step4096.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step4096.pt,1,78934d77908c0235692d1b7eeb0f20b9c0c6332fa46ed65f386ffac941acf0ae,2.5498510260873655,0.5266959492435335,4406,40980,8622.0,4.0
language_s8623_K4096_a2_e2_raw_graph,language,adapted,4096,2,raw,graph,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step4096.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step4096.pt,0,db7170626db254348bb66dc2333d635db2549872ecd0e6651514b71b60a0d6a5,2.677204878547635,0.509053196681308,4406,40980,8623.0,2.0
language_s8623_K4096_a4_e4_raw_graph,language,adapted,4096,4,raw,graph,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8623_lr2e-05/step4096.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8623_lr2e-05/step4096.pt,0,b37dbcf94a342e80b072b0ee31dd3b92fbc0698b028a393cf8ea1c831e9e95c0,2.5422943416097517,0.5284529038555393,4406,40980,8623.0,4.0
vision_initial_e2_raw_eager,vision,shared_initial,0,2,raw,eager,4,test,/root/autodl-tmp/snn0907/direction1_budget_rotation_20260907/results/reconstructed_identity_p0.0/best.pt,/root/autodl-tmp/snn0907/direction1_budget_rotation_20260907/results/reconstructed_identity_p0.0/best.pt,1,3d453ec2677252d88eccd90e665e492c03082209b9584dc2649757f84b5eba63,1.6372169614586514,0.6193,10000,10000,,
